stage,left_x,left_y,left_z,right_x,right_y,right_z,left_vx,left_vy,left_vz,right_vx,right_vy,right_vz,Px,Py,Pz,K,Lx,Ly,Lz
initial,-5.0,25.0,0.4000000059604645,5.0,25.0,-0.4000000059604645,2.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,1.2000000476837158,-25.0
final,0.4430885314941406,25.0,0.4029923677444458,2.2816693782806396,25.0,-0.4029923677444458,-0.5199997425079346,0.0,1.0998179912567139,1.5199997425079346,0.0,-1.0998179912567139,1.0,0.0,0.0,2.4999990463256836,0.0,1.2000000476837158,-25.0
